Index;Value;Cl-;Cl+;SE 
66;-5,268810318;-23,67194033;13,13431969;9,389352046
67;-1,241388411;-1,860610758;-0,622166064;0,315929769
68;-4,12973763;-22,8103978;14,55092254;9,530949064
69;-0,960048703;-1,805755727;-0,11434168;0,431483175
70;-1,29790996;-3,769678389;1,173858469;1,261106342
71;-0,734866405;-1,82664579;0,356912981;0,557030299
72;-3,839286084;-26,01845485;18,33988269;11,31590243
73;-0,39432076;-1,919868107;1,131226588;0,778340483
74;-3,806445652;-13,83347834;6,220587035;5,115833004
75;-1,371630673;-1,536999979;-1,206261366;0,084372095
76;-1,824525359;-3,421629982;-0,227420735;0,814849298
77;-0,062201406;-0,613572448;0,489169635;0,281311756
78;-5,226873681;-15,81672123;5,362973868;5,402983444
79;-0,498452447;-1,031030886;0,034125993;0,271723694
80;-3,640468896;-20,06980763;12,78886984;8,382315682
81;-1,565814295;-2,543054671;-0,588573919;0,498592029
82;-0,697465328;-3,939534447;2,544603791;1,654116898
83;-1,106953022;-2,267597886;0,053691842;0,592165747
84;-4,598253347;-24,95296951;15,75646282;10,38505927
85;-0,328050513;-1,847202771;1,191101745;0,775077683
86;-2,848405098;-14,75627494;9,059464746;6,075443798
87;-0,546701584;-0,685902837;-0,407500332;0,071021047
88;1,282597182;-0,416610209;2,981804573;0,866942546
89;-1,259189812;-1,915021558;-0,603358066;0,334608034
90;-0,476971438;-10,06682117;9,112878297;4,892780477
91;-0,618626704;-1,149640861;-0,087612547;0,270925591
92;0,996584426;-3,481142581;5,474311434;2,284554596
93;0,797571891;0,008312421;1,586831361;0,402683403
94;-0,879676481;-3,785959986;2,026607024;1,482797707
95;1,918519842;0,423488701;3,413550983;0,76277099
96;2,79266223;-11,86324307;17,44856753;7,477502704
97;1,927654874;-0,203680897;4,058990644;1,087416209
98;-2,172284865;-9,278793976;4,934224247;3,625769955
99;1,723853023;1,535910194;1,911795851;0,095889198
100;0,871880951;-0,273903828;2,017665729;0,584584071
101;2,187987849;1,333210367;3,042765332;0,43611096
102;3,133864096;-0,460050816;6,727779009;1,833630057
103;2,005268278;1,213858388;2,796678169;0,403780556
104;-4,123924712;-19,05020732;10,8023579;7,615450311
105;1,677705068;0,723622354;2,631787781;0,486776895
106;0,692594725;-3,070650407;4,455839857;1,920023027
107;0,278823378;-0,793600344;1,351247101;0,54715496
108;6,485059168;-12,75623353;25,72635186;9,81698607
109;-0,388939468;-1,728967092;0,951088155;0,683687563
110;3,016116342;-11,3714331;17,40366578;7,340586447
111;2,172595906;1,929790215;2,415401597;0,123880454
112;1,843677935;0,879533489;2,807822381;0,491910432
113;0,617418148;0,064345004;1,170491292;0,282180175
114;4,960911279;2,480335907;7,441486652;1,26559968
115;0,767537986;0,218717763;1,31635821;0,280010318
116;5,78131912;-10,64497985;22,20761809;8,380764781
117;0,206292758;-0,472682011;0,885267528;0,346415699
118;0,517551195;-3,242879218;4,277981609;1,918586946
119;0,439342256;-0,449891598;1,328576111;0,453690742
120;-3,918758178;-25,43100534;17,59348899;10,97563631
121;0,313112891;-1,065470308;1,691696091;0,703358775
122;-4,739780737;-24,88859792;15,40903644;10,28000877
123;0,465449591;0,320896348;0,610002834;0,073751655
124;-0,977095958;-1,952812235;-0,001379682;0,497814427
125;0,308958554;-0,266201619;0,884118727;0,293449068
126;-0,268746357;-1,884035458;1,346542745;0,824127093
127;-0,348793624;-0,871584175;0,173996926;0,266729873
128;-4,695640986;-19,53423217;10,1429502;7,570709789
129;0,792897681;0,033887576;1,551907787;0,387250054
130;-5,268482846;-26,10071929;15,5637536;10,62869206
131;0,495449775;-0,424294159;1,41519371;0,469257109
132;-4,773890595;-24,70079228;15,15301109;10,16678657
133;-0,691691532;-2,21764628;0,834263215;0,77854834
134;-4,746110896;-26,5999345;17,10771271;11,14991
135;0,643462026;0,492120002;0,79480405;0,077215318
136;-2,359083901;-3,857048184;-0,861119618;0,764267491
137;1,043105659;0,411420462;1,674790856;0,322288366
138;0,234766627;-4,456114498;4,925647752;2,393306696
139;-0,27275044;-0,810356183;0,264855303;0,274288645
140;0,010769094;-2,889123525;2,910661713;1,479537051
141;-0,649978646;-1,403594223;0,103636931;0,384497743
142;-5,503799346;-23,78238587;12,77478718;9,325809451
143;-0,231849255;-1,144885193;0,681186684;0,465834662
144;-5,369019413;-29,00130182;18,26326299;12,05728694
145;-1,044109156;-2,894448178;0,806229866;0,944050521
146;1,138230212;-7,005083574;9,281543998;4,154751932
147;-0,843538229;-0,998071723;-0,689004734;0,07884362
148;-1,573780137;-2,739314054;-0,40824622;0,594660162
149;0,205974285;-0,378233516;0,790182087;0,298065205
150;-6,221153553;-27,4889355;15,04662839;10,85090915
